OPDT,RCOURSECD,RNO,CLOSETM,投票時刻,勝式,投票方式,S,組番１,組番２,組番３,組番４,T,組番５,組番６,組番７,組番８
20210101,14,5,1046,3,３連単,三連単AB,0,1-2=6,1-2=4,1-4=6,1-2=5,1.0,1-2=6,1-2=4,1-6=4,1-2=5
20210101,21,5,1048,3,３連単,三連単AB,0,1-3=5,1-5=6,1-3=6,1-2=5,1.0,1-5=3,1-5=6,1-3=6,1-5=2
20210101,8,1,1049,3,３連単,三連単AB,0,1-3=5,1-2=3,1-2=5,1-3=6,1.0,1-3=5,1-3=2,1-5=2,1-3=6
20210101,18,5,1054,3,３連単,三連単AB,0,1-4=6,2-4=6,1-2=4,4-5=6,4.0,4-6=1,4-6=2,4-1=2,4-6=5
20210101,10,2,1055,3,３連単,三連単AB,0,2-3=5,1-3=5,1-2=5,3-4=5,5.0,5-3=2,5-3=1,5-2=1,5-3=4
20210101,9,2,1057,3,３連単,三連単AB,0,1-2=6,2-4=6,1-4=6,2-3=6,6.0,6-2=1,6-2=4,6-1=4,6-2=3
20210101,17,3,1109,3,３連単,三連単AB,0,2-3=4,2-3=5,3-4=5,1-2=3,3.0,3-2=4,3-2=5,3-4=5,3-2=1
20210101,8,2,1115,3,３連単,三連単AB,0,2-3=6,1-3=6,1-2=3,3-4=6,3.0,3-6=2,3-6=1,3-2=1,3-6=4
20210101,14,6,1117,3,３連単,三連単AB,0,3-4=6,1-4=6,1-3=4,2-4=6,4.0,4-6=3,4-6=1,4-3=1,4-6=2
20210101,21,6,1118,3,３連単,三連単AB,0,2-4=6,1-2=6,1-2=4,2-3=6,2.0,2-6=4,2-6=1,2-4=1,2-6=3
20210101,10,3,1123,3,３連単,三連単AB,6,1-2=3,1-3=4,2-3=4,1-3=6,3.0,3-1=2,3-1=4,3-2=4,3-1=6
20210101,9,3,1124,3,３連単,三連単AB,6,2-3=4,1-3=4,1-2=3,3-4=5,3.0,3-4=2,3-4=1,3-2=1,3-4=5
20210101,18,6,1125,3,３連単,三連単AB,0,1-2=3,1-3=4,2-3=4,1-3=6,3.0,3-1=2,3-1=4,3-2=4,3-1=6
20210101,17,4,1137,3,３連単,三連単AB,0,2-3=5,1-2=5,1-2=3,2-4=5,2.0,2-5=3,2-5=1,2-3=1,2-5=4
20210101,8,3,1141,3,３連単,三連単AB,0,1-2=6,2-4=6,1-2=4,2-3=6,2.0,2-6=1,2-6=4,2-1=4,2-6=3
20210101,14,7,1148,3,３連単,三連単AB,0,1-2=5,2-3=5,1-2=3,2-4=5,2.0,2-5=1,2-5=3,2-1=3,2-5=4
20210101,21,7,1149,3,３連単,三連単AB,0,1-2=3,1-2=4,1-3=4,1-2=5,1.0,1-2=3,1-2=4,1-3=4,1-2=5
20210101,9,4,1151,3,３連単,三連単AB,0,1-2=4,1-2=3,2-3=4,1-2=5,2.0,2-1=4,2-1=3,2-4=3,2-1=5
20210101,10,4,1151,3,３連単,三連単AB,0,1-3=6,1-2=6,2-3=6,1-4=6,6.0,6-1=3,6-1=2,6-3=2,6-1=4
20210101,18,7,1155,3,３連単,三連単AB,0,1-3=5,1-4=5,1-3=4,1-2=5,1.0,1-5=3,1-5=4,1-3=4,1-5=2
